ORI_APP,SMS,SCREEN,PRESENT,POWERDISCON,POWERCON,PACKAGEREMOVE,PACKAGEADD,LOCATION,CONNECTOIN,BOOTCOMPLETE
03191237256611ca8400dcc35261f2e9c028956fef272a574680b2c8053c566d,3ab27b634bcf76721f604ff855f93caf09f0c9db4a42c93a7cf7f71c90666aef,bbfa441cb963470294fee2fca322cd6e675fde718e74fde636af238db89499ad,58fa443a44218efa696d7a1f4d086a908d25791cb0e89cbb2b76a01c3a07b68b,01e654554804aca6df03ee29ea8e1b9166037d3547493336a19827812597e549,5c52dde3ddaea1d2ced127f706470911a974cdbe963c26b27bfb0426d2dedb6f,2cf648ebb2a0697f60b95e0cb641969f3d07fbbf639caf53e859a9dbaf295c01,1e5210188b2a04db883f5a328d1574d1a9db8c98b42a88cc16c371d1b2550159,de5f1b2fe7f4820dd13c656389d011270c4fb44d83bb685a3b0f420cfcd71789,92167df3ef12c8edf7a3e32900d2392d4eee8e74477cb1664ce1e8ae1913b167,fdd6324ebdfd54f3cf8431115272196748a1d581148a06c7b123b04a21b7cfe8
02c9bddf966b59a8850a7395e7ce5af21ca16c442a0389fa0f5ec86680e39c9f,52af041722f09b2dc3fd3f138356279c1990aa35503f8dd77e2d3f429b2c270a,3973a82fab2c13eee2bd1e017e6c12bd5344992e4f3825e27e38a0e7d24075a1,2af30dcc6852790b325fe52440db21705cad2eb6af95e0e7094782e6ad7887c6,feacedb38b76c2c773167a223324ffc53c31f4ed7abc7729cc88bdb10634d822,121e66f34f1238e7495c12a902505a94c1980ae0ea418d8a9d6857ca052868b5,41f9b8b89c7c54f96e0ed905b1a0da446a0bcaa1bf5de1d1c4002896493480f5,88779b31428cdea81bcff727e72b82f83997489b1acb6416952ddb582c99b652,7e8c9402563ec40c3441dc939cba1bf2f5a75eecc8410a38c8b3a2e8905ca0af,145b30596667d62f6b8f56ad5904012a94a54761d73a9786b6a93e5aebe5e968,5bd1b2b44a15a75eeaa9a7daf8f21d5d9dd5f14facb646b9513a16c6c4f65c46
0060fecb87670b01861ce9fe3328060d56614f97d525f42092d1405cf8cb87d6,d6dfba5535e0e9989dd9656cbaabf1c85c9342dda18227b9aad136e261686010,72c43c52dea43f443ca144ba7515e93f3521d83710fdb00d981a9d042a4c4e12,333459ffddf544794fb8ae51465f90710d9b77b2d0d198247b0b8b1716522f68,c8a1183ec3482c9af7846ffce013909654f674447a1bd1fe5adc0ff6807a1e98,12e86225db864ec82b246d1d78e12770a01dc8ed668bf942ef7977c11bdbe418,74d3639286886051b6c4bd98c0e4782af19f66f4ccf71ed2b018045186ad2817,3ddc8184853b6b37a9913305b1cee60ce3ca3b43bb8ae95a700d06c714cbfdba,4934b05a26e241e8eb9937cc4fc4d0b69cc59010eb30f558e802356e9245d84c,67560836f48862d936318a2c37ad2c31e8995a8562b46e31c4175d0b46d1e35b,b8f47ab04baa9afd992aff3a346087acd0ca93c8b8f459f19672151a65c7104a
0281dcaf90acbb221383c2787ebf93d21cf12e6367a4313f8ddc482dd6b4683b,7c7b7ad88d3b9baa44323ed97334310b2800a1894a04dadb5bd55d4244cefb53,1df8551e59a462f0d8f689dc560dad06f5d73087517a6e624b9e88424634257f,d227a88d62e0686909c53d07776b3c373a37ea5432e4afbb3628e8896d39bca8,845186586f61a8dc7a646d6276f92c15a86555cc4fb6e9e2130a3edb59709ed4,a5b8d0082fbeaa2703096b65c8c1d528aba76e395e59af7f0d53db24ded68734,9be11d07df85dbc391a7ceed690fd94a444c6d39586c13bf72de49cba0978fbe,198b3aa2b13e1927be02c600f127724de3812b347d9507da0690b0d3969f5a0e,42dbff48b3499f88ee584a770abb04184f48c08b67c01dd2245d67b811b8d6e3,f668dee4f9c84c729d68d7d4242a9ad75e476222288b570f6ed7faff14838a49,493114edca7de7dd4e05636953b86dd44cfe07c5b5db7b68c44ca3c2a64b8099
01a3ed554a26373d89deafacd69144f342c6d20dfaa870180b5bc21daff816d4,e790ed9c2db209beadb9c507a89b7fb415437d3438172ed7f27efdf9b2e7b524,297e2c818f00c22f22c799ed581d7d754875fd624c1375591797f7971dc19db2,f49d063c29d30cef795386b576c14013a6ffe08b7a066a093d60bdec49855aa7,e727c960e1300ca886489e0be9162aae9692c806a78adf5e97674d975d6dec6c,8275cbd4b6e772971c4bbf650d9e0d4b22f0898b439b1e6b39efa1ca1857af1a,52dbdc8da0e10159ff31863c5a18903e593efa14e5684d93030ed61f1a28a29f,16c0935fcc2886312aac152d124ef126aa13720061dd92cc8b01e4b486c3db67,c654e65063ad8822880469995a6eb9e230ee4a90713828b1243125e9f799745e,410a68bebcfc8ba083b2a74c8b49ff083ed59a7015afecb8f11af6cc3d8478ee,0e9fd5a5716229dc70046d9eb129e6a285237caa3e90a7b5974d40bc73f4b517
00876a3114f5bbba79d450ef0cb9c4b1e9bb4a6154875f22290ae63104c76ea7,a19e72243ba5895cc5c1c104e343bc9a34f6cdbe3dab8af8b7bede16a44601bf,9a8285780395c575a8ce268f89a7768af344601115cc09da5373b456c46c3686,fd30fc7937798c5d15da2c0aca65b390fca7364ec0ab18c2e1856ad76190f199,71f6728d2ab3ad2e833fba60c4b6a624ef9e947f57902dd97776da6d04ad80e3,74afef346195431613353e464de687ae9b2cc301c88d5afe7d885a3d76f47ff8,c1470a90fde445df448de5a632a1e00569abafef7f09f6b9c41f1883ed23a09d,fd04663de69a7fb01c7c7c9e098567c8f62f93cb5b934db2c92c8ad67f9759a8,23c9c945d3cb5fac9c8b7c8e19fcef8e40e25318be99ed55b524d20686d678f9,21a3a609a99229c6d421948c4299398253448a6571a9462efbbda9c701499b89,5af4c4025bc50291aa8dbd444e2e72a9febfbade1b1a0d0693bbb06719df7afb
019248440ff1b20651297d9ee10a22ae7485a095af017a9269ed6de68a91e846,8ebe44c216b49bae70c54f2f4a22ae457de5041447aceb888a4260702ff422fc,db3f25f9cb613047898702fa284862cea6a51232f554ac9ef6082596f08919cc,55850920daee73c7caddf110c0b5131ee8a914c60e3010188e4ba2c6fcba18ca,a91a32cafa1c6b13a964e779352d6b902fb07bbb458d4319526ce31d8e75e4c9,67c61483ccde0505ec79cb82d9c6f12e7045f0038d8ab49177a2567a05c284b0,7470fc09f20dfb10289a02634bc114d7c275671ac7124b87b977f5529a4a8dec,5778b97ae86b2ded0dac07115ae2a493a611cdbbaef3e58c26dbfb503b59dacb,ea9ae39002470a347cf9b8c18e8d073a4707ce20494b406bef1f58d9b3471490,dd997dafbe15ff170f319a39ddd29e0aa8b850585c527a5d2f4d0e1f9b3517ab,5e935fb2de615be9c10450bfe6c9c5be676927bf5cc86eb4fe9a7ea2f8c5ce07
03f5557f3d8c18c27ce33f211790d488b9bfbebb9a152a390ba83614773b1f3a,c8b0d015442ebf567f1c3fcb9d43090c2873ce9416588b962a1b9f3d374fcc9c,440cb4e69b048d5b6084a2b0c6b9abe731b238fe86fd1f68f16794381b21eea2,a875c5a6c7e7c129be2dc61eea64cb9266d240c96a3fede7a57295e6362e3290,c58ba8477fa3f98e6a690d706f62c2a5c0c02be75230500e4095605216088e7d,e158c162dce0ce2cf8b2f2a245e4e233b0b99fc5a67150b851d5f46053733255,96783e9ba45bbedaa40b0e53dfbbe455caa485e2a1bf3ad91cde7464bf7d5a7a,36a2cd5857d5666d814782755ce5eef874a5d638147a19ecb6746fdbfabe3a18,c0de44cf2b944989f9fc5fefef930b2c6fca137d47f5ecb287f75d34d6e47c50,788b91c8f39cf68279ff21b947e6e297482ccafd1b2a8b06f79d900c06499894,5a022f675d91d6c29877e2ddb9e82549cebbdf1ba00ceb85205c7b8cf4c25f50
08cb0cab276ab0f339ef0f5e1988240d1c181c23b228f8ce016ae7473917a289,1bf4a9352c12f21fa0c285396dc986b98aea721d28a3ba427a7bf1bb6c63114a,f1169d44d7741615668107f6e95c55c3c700219e535af4727038520689600b02,b052e4fc21b65ba1be8769c25b71547dffc7290f8c459b532d0d626725d6ca6a,ac66dc8d15e13433d2d0989823c05454738f182bac8ebf8c31e1d63cbbb59a6a,a3d6f988fd5623b93e272d55ef7637501800bee6b8683aefff007be6b1e0439b,72677a90a5ca7f1697699aa7069fdd8d609d6b6e5d6dd5e5a3846a31695ac5b9,b1eee746f210598f092bb1df61c335f419591077be6b29880ab3984ded36752a,8653ddfd83cc2b24f368bf0b75600f432fc1a31391657e4ef7a98bdde974f5b7,f15e213cbf0c4cfd8c273aea17834ccc239ae007ac0997a0adb17bf8b3f469fb,31e6c61ecc1382e33d2304b8bc85d876f4fc443dd573bdfe94266fbc38526aca
02264bc4b9b4061642aad15fa63d5d291bd8840bd9f3c449813362904f28c8c3,cb26206ff71f79a1474c7329932ea08d842185775be03add7b74c26a9968fde9,283a0b84301d961e60049f8df5a489572c36bf4c5a85cdb8bef10a65c1391fdb,53ed7808bd280253ae1191e7d3009baa464c4fa225ef51af432618dd76bfdd0c,8e1129da17f9be162d63969902e7367293060c052a0084509429b89e6b70d23f,c1f0ed074b41d53bf5664d0ee5ed65ec6b3907e49ff3535e402a76158c761961,d430c7e3e618eeb856ee948a32d07cc555382a92ed079901aea87bdf1a070ad2,82cca8808d8fb18f6ce83093e92663fadf8bc41c1eea46bfd6e0d20ef6125cd2,1a145118159b62a059ecb1c0d76c337480a5b67c096fa9627d9c9e5f65dd428d,e097ad3c5c9af378dc8bac479703e7691ebfd8aa0870610c26ce975cd1bacea1,5c6726878002495305b19de87143d638e9fb545165e3b339f8359763d22666d9
